n,target_rate,prediction_mean,bias,brier,score,auc,label,valid_season,iterations,feature_count,categorical_count,elapsed_seconds,delta_brier_vs_A
245525,0.4999572344975053,0.5202305186630205,0.0202732841655151,0.2529995140096996,0.0,0.5273142162338784,A_baseline104,2023,150,104,11,18.333757638931274,0.0
245525,0.4999572344975053,0.5201152324124901,0.0201579979149847,0.2530567822593645,0.0,0.5271850356466978,B_release_axis,2023,150,107,11,19.532581329345703,5.7268249664899074e-05
245525,0.4999572344975053,0.5200533434433021,0.0200961089457967,0.2530318139644765,0.0,0.52737234306233,C_plus_ellipse,2023,150,109,11,19.79419231414795,3.229995477688208e-05
245525,0.4999572344975053,0.520526919728618,0.0205696852311126,0.2530895069969499,0.0,0.5275059759513873,D_plus_true_context,2023,150,114,11,20.011107683181763,8.999298725026472e-05
245525,0.4999572344975053,0.5194485024676678,0.0194912679701624,0.2530944385693229,0.0,0.5272029549026797,E_plus_fatigue,2023,150,118,11,20.81628894805908,9.492455962328838e-05
245525,0.4999572344975053,0.5195094557102161,0.0195522212127107,0.2531204956252029,0.0,0.5267723156764568,F_plus_movement,2023,150,120,11,20.070533275604248,0.00012098161550327946
245525,0.4999572344975053,0.5199073637057938,0.0199501292082884,0.253028147919884,0.0,0.5276188055646,G_plus_mechanics_change,2023,150,123,11,21.183512449264526,2.8633910184372446e-05
245525,0.4999572344975053,0.5197941079426799,0.0198368734451745,0.2531977524183731,0.0,0.5269569432773415,H_G_clean_old_tm,2023,150,115,10,19.182569980621334,0.00019823840867350118
245525,0.4999572344975053,0.5207514965105807,0.0207942620130753,0.2529525371965011,0.0,0.5273815269841766,I_G_clean_plus_archetype,2023,150,118,13,19.75099921226501,-4.69768131984849e-05
253507,0.4861049201797189,0.4932929684710245,0.0071880482913055,0.2479342743596005,749.6399005022969,0.5493242743188989,A_baseline104,2024,150,104,11,22.9100501537323,0.0
253507,0.4861049201797189,0.4932404379544068,0.0071355177746879,0.247929445749848,751.5728371967123,0.5493220394611262,I_G_clean_plus_archetype,2024,150,118,13,24.654130220413208,-4.82860975251076e-06
